,PREFERRED NAME,CASRN,SMILES,use
1008,Citral,5392-40-5,CC(C)=CCC\C(C)=C\C=O,"Insecticide,Pheromone"
1009,Citric acid,77-92-9,OC(=O)CC(O)(CC(O)=O)C(O)=O,"Fungicide,Microbiocide,pH Adjustment"
1010,"Citric acid, ammonium salt","7632-50-0, 3012-65-5",N.OC(=O)CC(O)(CC(O)=O)C(O)=O,"Fungicide,Microbiocide,pH Adjustment"
1011,Citronellol,106-22-9,C[C@@H](CCO)CCC=C(C)C,"Insect Repellent,Insecticide"
1015,Clethodim,99129-21-2,CCSC(C)CC1CC(=O)C(C(=O)C1)C(/CC)=N/OC\C=C\Cl,Herbicide
1017,Cloethocarb,51487-69-5,CNC(=O)Oc1ccccc1OC(CCl)OC,"Insecticide,Molluscicide"
1018,Clofencet,"129025-54-3, 82697-71-0",CCC1=C(C(O)=O)C(=O)C=NN1c2ccc(Cl)cc2,"Herbicide,Plant Growth Regulator"
1019,Clofentezine,74115-24-5,Clc1ccccc1c2nnc(nn2)c3ccccc3Cl,"Insect Growth Regulator,Insecticide"
1020,Clofop,26129-32-8,CC(Oc1ccc(Oc2ccc(Cl)cc2)cc1)C(O)=O,Herbicide
1021,Clomazone,81777-89-1,CC1(C)CON(Cc2ccccc2Cl)C1=O,Herbicide
1022,Clomeprop,84496-56-0,CC(Oc1ccc(Cl)c(C)c1Cl)C(=O)Nc2ccccc2,Herbicide
1023,Clonitralid,1420-04-8,NCCO.Oc1ccc(Cl)cc1C(=O)Nc2ccc(cc2Cl)[N+]([O-])=O,Molluscicide
1025,Clopyralid,1702-17-6,OC(=O)c1nc(Cl)ccc1Cl,Herbicide
1028,"Clopyralid, monoethanolamine salt",57754-85-5,NCCO.OC(=O)c1nc(Cl)ccc1Cl,Herbicide
1029,"Clopyralid, potassium salt",58509-83-4,[K+].[O-]C(=O)c1nc(Cl)ccc1Cl,Herbicide
1033,Cloquintocet mexyl,99607-70-2,CCCCCC(C)OC(=O)COc1ccc(Cl)c2cccnc12,Herbicide Safener
1035,Cloransulam-methyl,147150-35-4,CCOc1nc(F)cc2nc(nn12)[S](=O)(=O)Nc3c(Cl)cccc3C(=O)OC,Herbicide
1036,Clothianidin,"205510-53-8, 210880-92-5, 205510-92-5, 131748-59-9",CN=C(NCc1sc(Cl)nc1)N[N+]([O-])=O,Insecticide
1107,Coumachlor,81-82-3,CC(=O)CC(c1ccc(Cl)cc1)C2=C(O)Oc3ccccc3C2=O,Rodenticide
1108,Coumafuryl,117-52-2,[Na+].CC(=O)CC([C-]1C(=O)Oc2ccccc2C1=O)c3occc3,Rodenticide
1109,"Coumafuryl, sodium salt",34490-93-2,[Na+].CC(=O)CC([C-]1C(=O)Oc2ccccc2C1=O)c3occc3,Rodenticide
1110,Coumaphos,56-72-4,CCO[P](=S)(OCC)Oc1ccc2C(=C(Cl)C(=O)Oc2c1)C,Insecticide
1112,Coumarin,91-64-5,O=C1Oc2ccccc2C=C1,Rodenticide
1113,Coumatetralyl,5836-29-3,OC1=C(C2CCCc3ccccc23)C(=O)c4ccccc4O1,Rodenticide
1114,Coumithioate,572-48-5,CCO[P](=S)(OCC)Oc1ccc2C3=C(CCCC3)C(=O)Oc2c1,Insecticide
1116,Credazine,14491-59-9,Cc1ccccc1Oc2cccnn2,Herbicide
1118,Cresylic acid,93-51-6,COc1cc(C)ccc1O,Fungicide
1119,Crimidine,535-89-7,CN(C)c1cc(C)nc(Cl)n1,Rodenticide
1120,2-Butenal,4170-30-3,C\C=C/C=O,Herbicide
1121,Crotoxyphos,7700-17-6,CO[P](=O)(OC)OC(/C)=C/C(=O)OC(C)c1ccccc1,Insecticide
1123,Crufomate,299-86-5,CN[P](=O)(OC)Oc1ccc(cc1Cl)C(C)(C)C,Insecticide
1142,Cyanatryn,21689-84-9,CCNc1nc(NC(C)(C)C#N)nc(SC)n1,Herbicide
1143,Cyanazine,21725-46-2,CCNc1nc(Cl)nc(NC(C)(C)C#N)n1,Herbicide
1145,Cyanofenphos,13067-93-1,CCO[P](=S)(Oc1ccc(cc1)C#N)c2ccccc2,Insecticide
1146,Cyanophos,2636-26-2,CO[P](=S)(OC)Oc1ccc(cc1)C#N,"Avicide,Insecticide"
1147,Cyanthoate,3734-95-0,CCO[P](=O)(OCC)SCC(=O)NC(C)(C)C#N,Insecticide
1148,Cyanuric acid,108-80-5,O=C1NC(=O)NC(=O)N1,"Microbiocide,Water Treatment"
1149,Cyanuric acid chloride,108-77-0,Clc1nc(Cl)nc(Cl)n1,"Microbiocide,Water Treatment"
1150,"Cyanuric acid, monosodium salt",2624-17-1,[Na+].O=C1NC(=O)[N-]C(=O)N1,"Microbiocide,Water Treatment"
1151,Cyazofamid,120116-88-3,CN(C)[S](=O)(=O)n1c(nc(Cl)c1c2ccc(C)cc2)C#N,Fungicide
1152,Cybutryne,28159-98-0,CSc1nc(NC2CC2)nc(NC(C)(C)C)n1,"Algaecide,Antifoulant,Breakdown product"
1153,Cyclafuramide,34849-42-8,Cc1oc(C)c(c1)C(=O)NC2CCCCC2,Fungicide
1154,Cyclethrin,97-11-0,CC(C)=CC1C(C(=O)OC2CC(=O)C(=C2C)C3CCC=C3)C1(C)C,Insecticide
1155,Cycloate,1134-23-2,CCSC(=O)N(CC)C1CCCCC1,Herbicide
1158,Cycloprothrin,63935-38-6,CCOc1ccc(cc1)C2(CC2(Cl)Cl)C(=O)OC(C#N)c3cccc(Oc4ccccc4)c3,Insecticide
1159,Cyclosulfamuron,136849-15-5,COc1cc(OC)nc(NC(=O)N[S](=O)(=O)Nc2ccccc2C(=O)C3CC3)n1,Herbicide
1161,Cycluron,2163-69-1,CN(C)C(=O)NC1CCCCCCC1,Herbicide
1162,Cyfluthrin,68359-37-5,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2ccc(F)c(Oc3ccccc3)c2,Insecticide
1163,Cyhalofop,122008-78-0,CCCCOC(=O)C(C)Oc1ccc(Oc2ccc(cc2F)C#N)cc1,Herbicide
1164,Cyhalofop butyl,122008-85-9,CCCCOC(=O)[C@@H](C)Oc1ccc(Oc2ccc(cc2F)C#N)cc1,Herbicide
1165,Cyhalothrin,68085-85-8,CC1(C)C(\C=C(/Cl)C(F)(F)F)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,Insecticide
1166,"Cyhalothrin, gamma",76703-62-3,CC1(C)[C@@H](\C=C(/Cl)C(F)(F)F)[C@H]1C(=O)O[C@H](C#N)c2cccc(Oc3ccccc3)c2,Insecticide
1167,"Cyhalothrin, lambda",91465-08-6,CC1(C)[C@@H](\C=C(/Cl)C(F)(F)F)[C@H]1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,Insecticide
1168,Cyhexatin,13121-70-5,O|[Sn](C1CCCCC1)(C2CCCCC2)C3CCCCC3,Insecticide
1171,Cymoxanil,57966-95-7,CCNC(=O)NC(=O)\C(=N\OC)C#N,Fungicide
1172,Cyometrinil,63278-33-1,N#CCO/N=C(C#N)/c1ccccc1,Herbicide Safener
1173,Cypermethrin,"52315-07-8, 66841-24-5",CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,Insecticide
1174,"Cypermethrin, alpha",67375-30-8,CC1(C)[C@@H](C=C(Cl)Cl)[C@H]1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,Insecticide
1176,"Cypermethrin, theta",71697-59-1,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,Insecticide
1178,Cyphenothrin,39515-40-7,CC(C)=CC1C(C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2)C1(C)C,Insecticide
1179,Cyprazine,22936-86-3,CC(C)Nc1nc(Cl)nc(NC2CC2)n1,Herbicide
1181,Cyproconazole,"94361-06-5, 113096-99-4, 94361-07-6",CC(C1CC1)C(O)(Cn2cncn2)c3ccc(Cl)cc3,Fungicide
1182,Cyprodinil,121552-61-2,Cc1cc(nc(Nc2ccccc2)n1)C3CC3,Fungicide
1183,Cyprofuram,69581-33-5,Clc1cccc(c1)N(C2CCOC2=O)C(=O)C3CC3,Fungicide
1184,Cypromid,2759-71-9,Clc1ccc(NC(=O)C2CC2)cc1Cl,Herbicide
1185,Cyromazine,66215-27-8,Nc1nc(N)nc(NC2CC2)n1,"Insect Growth Regulator,Insecticide"
1186,Cythioate,115-93-5,CO[P](=S)(OC)Oc1ccc(cc1)[S](N)(=O)=O,Insecticide
1193,Daimuron,42609-52-9,Cc1ccc(NC(=O)NC(C)(C)c2ccccc2)cc1,Herbicide
1194,Dalapon,75-99-0,CC(Cl)(Cl)C(O)=O,Herbicide
1195,"Dalapon, magnesium salt",29110-22-3,[Mg++].CC(Cl)(Cl)C([O-])=O.CC(Cl)(Cl)C([O-])=O,Herbicide
1196,"Dalapon, sodium salt",127-20-8,[Na+].CC(Cl)(Cl)C([O-])=O,Herbicide
1197,Dazomet,533-74-4,CN1CSC(=S)N(C)C1,"Fumigant,Fungicide,Nematicide"
1198,"Dazomet, sodium salt",53404-60-7,[Na+].CN1CN(C)C(=S)S[CH-]1,"Fumigant,Fungicide,Nematicide"
1199,DBCP,96-12-8,ClCC(Br)CBr,"Fumigant,Nematicide"
1201,DCPA,1861-32-1,COC(=O)c1c(Cl)c(Cl)c(c(Cl)c1Cl)C(=O)OC,Herbicide
1202,DDD,"72-54-8, 53-19-0",ClC(Cl)C(c1ccc(Cl)cc1)c2ccc(Cl)cc2,"Breakdown product,Insecticide"
1203,"DDT, p,p'",50-29-3,Clc1ccc(cc1)C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl,Insecticide
1204,DDVP,62-73-7,CO[P](=O)(OC)OC=C(Cl)Cl,"Breakdown product,Impurity,Insecticide"
1206,Decarbofuran,1563-67-3,CNC(=O)Oc1cccc2CC(C)Oc12,Insecticide
1210,Decyl-N-methyl-N-(3-trimethoxysilyl)propyl)-1-decanaminium chloride,68959-20-6,[Cl-].CCCCCCCCCC[N+](C)(CCCCCCCCCC)CCC[Si](OC)(OC)OC,Microbiocide
1211,Dehydroabietylamine,1446-61-3,CC(C)c1ccc2c(CC[C@H]3[C@](C)(C[NH3+])CCC[C@]23C)c1,"Fungicide,Microbiocide"
1212,Dehydroabietylamine acetate,2026-24-6,CC(C)c1ccc2c(CCC3C(C)(CN)CCCC23C)c1.CC(O)=O,"Fungicide,Microbiocide"
1213,Dehydroabietylamine pentachlorophenate,35109-57-0,CC(C)c1ccc2c(CCC3[C@](C)(CN)CCC[C@]23C)c1.Oc4c(Cl)c(Cl)c(Cl)c(Cl)c4Cl,"Algaecide,Fungicide,Microbiocide,Wood Preservative"
1214,Delachlor,24353-58-0,CC(C)COCN(C(=O)CCl)c1c(C)cccc1C,Herbicide
1215,Deltamethrin,52918-63-5,CC1(C)[C@@H](C=C(Br)Br)[C@H]1C(=O)O[C@H](C#N)c2cccc(Oc3ccccc3)c2,Insecticide
1216,Deltamethrin (isomer unspecified),52820-00-5,CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,Insecticide
1218,Demephion-O,682-80-4,CO[P](=S)(OC)OCCSC,"Breakdown product,Insecticide"
1219,Demephion-S,2587-90-8,CO[P](=O)(OC)SCCSC,Insecticide
1220,Demeton,8065-48-3,CCO[P](=O)(OCC)SCCSCC.CCO[P](=S)(OCC)OCCSCC,"Insecticide,Nematicide"
1221,Demeton-O,298-03-3,CCO[P](=S)(OCC)OCCSCC,Insecticide
1222,Demeton-O-methyl,867-27-6,CCSCCO[P](=S)(OC)OC,Insecticide
1223,Demeton-S,126-75-0,CCO[P](=O)(OCC)SCCSCC,Insecticide
1225,Demeton-S-methyl sulfone,17040-19-6,CC[S](=O)(=O)CCS[P](=O)(OC)OC,"Breakdown product,Insecticide"
1227,Desmedipham,13684-56-5,CCOC(=O)Nc1cccc(OC(=O)Nc2ccccc2)c1,Herbicide
1228,Desmetryne,1014-69-3,CNc1nc(NC(C)C)nc(SC)n1,Herbicide
1235,Di(phenylmercuric) dodecenyl succinate,27236-65-3,CCCCCCC/C=C/CCCC(CC(=O)O[Hg]c1ccccc1)C(=O)O[Hg]c2ccccc2,"Fungicide,Microbiocide"
1236,Diacetoxy propene,869-29-4,CC(=O)OC(OC(C)=O)C=C,Herbicide
1238,Diafenthiuron,80060-09-9,CC(C)c1cc(Oc2ccccc2)cc(C(C)C)c1NC(=S)NC(C)(C)C,Insecticide
1239,Dialifor,10311-84-9,CCO[P](=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O,Insecticide
1243,"Dialkyl* dimethyl ammonium bromide *(50% C12, 30% C14, 17% C16, 3% C18)",7173-51-5,[Cl-].CCCCCCCCCC[N+](C)(C)CCCCCCCCCC,Microbiocide
1248,"Dialkyl* dimethyl ammonium chloride *(70%C18, 26%C16, 4%C14)",68002-59-5,[Cl-].CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCCCC,Microbiocide
1251,Diallate,2303-16-4,CC(C)N(C(C)C)C(=O)SC\C(Cl)=C\Cl,Herbicide
1252,Diallyl dimethyl ammonium chloride polymers,26062-79-3,[Cl-].C[N+](C)(CC=C)CC=C,Microbiocide
1253,Diamidafos,1754-58-1,CN[P](=O)(NC)Oc1ccccc1,"Insecticide,Nematicide"
1254,Diammonium ethylenebis(dithiocarbamate),3566-10-7,N.N.SC(=S)NCCNC(S)=S,Microbiocide
1257,Diazinon,"333-41-5, 59928-80-2",CCO[P](=S)(OCC)Oc1cc(C)nc(n1)C(C)C,Insecticide
1258,Dibenzyldimethylammonium chloride,100-94-7,[Cl-].C[N+](C)(Cc1ccccc1)Cc2ccccc2,Microbiocide
1259,Dibutyl phthalate,"84-74-2, 84-69-5",CCCCOC(=O)c1ccccc1C(=O)OCCCC,"Dye,Insect Repellent,Insecticide,Solvent"
1260,Dibutyl succinate,141-03-7,CCCCOC(=O)CCC(=O)OCCCC,"Insecticide,Soap or Surfactant"
1261,Dicamba,1918-00-9,COc1c(Cl)ccc(Cl)c1C(O)=O,Herbicide
1262,"Dicamba with 2,4-D",8068-77-7,COc1c(Cl)ccc(Cl)c1C(O)=O.OC(=O)COc2ccc(Cl)cc2Cl,Herbicide
1266,"Dicamba, diethanolamine salt",25059-78-3,COc1c(Cl)ccc(Cl)c1C(O)=O.OCCNCCO,Herbicide
1268,"Dicamba, dimethylamine salt",2300-66-5,CNC.COc1c(Cl)ccc(Cl)c1C(O)=O,Herbicide
1271,"Dicamba, methyl ester",6597-78-0,COC(=O)c1c(Cl)ccc(Cl)c1OC,Herbicide
1272,"Dicamba, monoethanolamine salt",53404-28-7,COc1c(Cl)ccc(Cl)c1C(O)=O.NCCO,Herbicide
1275,"Dicamba, potassium salt",10007-85-9,[K+].COc1c(Cl)ccc(Cl)c1C([O-])=O,Herbicide
1276,"Dicamba, sodium salt",1982-69-0,[Na+].COc1c(Cl)ccc(Cl)c1C([O-])=O,Herbicide
1278,Dichlobenil,1194-65-6,Clc1cccc(Cl)c1C#N,Herbicide
1279,Dichlofenthion,97-17-6,CCO[P](=S)(OCC)Oc1ccc(Cl)cc1Cl,"Insecticide,Nematicide"
1280,Dichlofluanid,1085-98-9,CN(C)[S](=O)(=O)N(SC(F)(Cl)Cl)c1ccccc1,"Fungicide,Insecticide"
1281,Dichlone,117-80-6,ClC1=C(Cl)C(=O)c2ccccc2C1=O,Fungicide
1282,Dichloral urea,116-52-9,OC(NC(=O)NC(O)C(Cl)(Cl)Cl)C(Cl)(Cl)Cl,Herbicide
1283,Dichloran,99-30-9,Nc1c(Cl)cc(cc1Cl)[N+]([O-])=O,Fungicide
1284,Dichlorflurecol-methyl,21634-96-8,OC(=O)C1(O)c2cc(Cl)ccc2c3ccc(Cl)cc13,"Herbicide,Plant Growth Regulator,Pruning Aid"
1285,Dichlormate,1966-58-1,CNC(=O)OCc1ccc(Cl)c(Cl)c1,Herbicide
1286,Dichlormid,37764-25-3,ClC(Cl)C(=O)N(CC=C)CC=C,Herbicide Safener
1287,"Dichloro-1,2-dithiol-3-one",1192-52-5,ClC1=C(Cl)C(=O)SS1,Microbiocide
1288,Dichloro-s-triazinetrione,2782-57-2,O.O.[Na+].ClN1C(=O)[N-]C(=O)N(Cl)C1=O,"Microbiocide,Water Treatment"
1290,"Dichloroisocyanuric acid, potassium salt",2244-21-5,[K+].ClN1C(=O)[N-]C(=O)N(Cl)C1=O,"Microbiocide,Water Treatment"
1291,Dichlorophene,97-23-4,Oc1ccc(Cl)cc1Cc2cc(Cl)ccc2O,"Fungicide,Herbicide,Microbiocide"
1292,Dichlorprop,"120-36-5, 7547-66-2",CC(Oc1ccc(Cl)cc1Cl)C(O)=O,Herbicide
1293,Dichlorprop-P,15165-67-0,C[C@@H](Oc1ccc(Cl)cc1Cl)C(O)=O,Herbicide
1294,"Dichlorprop, butoxyethyl ester",53404-31-2,CCCCOCCOC(=O)C(C)Oc1ccc(Cl)cc1Cl,Herbicide
1295,Diclobutrazol,75736-33-3,CC(C)(C)C(O)C(Cc1ccc(Cl)cc1Cl)n2cncn2,Fungicide
1296,Diclofop,40843-25-2,CC(Oc1ccc(Oc2ccc(Cl)cc2Cl)cc1)C(O)=O,Herbicide
1297,Diclofop-methyl,51338-27-3,COC(=O)C(C)Oc1ccc(Oc2ccc(Cl)cc2Cl)cc1,Herbicide
1298,Diclomezine,62865-36-5,Cc1c(Cl)cc(cc1Cl)C2=NNC(=O)C=C2,Fungicide
1299,Diclosulam,145701-21-9,CCOc1nc(F)cc2nc(nn12)[S](=O)(=O)Nc3c(Cl)cccc3Cl,Herbicide
1301,Dicofol,115-32-2,OC(c1ccc(Cl)cc1)(c2ccc(Cl)cc2)C(Cl)(Cl)Cl,Insecticide
1302,Dicrotophos,141-66-2,CO[P](=O)(OC)OC(/C)=C/C(=O)N(C)C,Insecticide
1303,Dicyandiamide,461-58-5,NC(N)=NC#N,Microbiocide
1305,Didecyl dimethyl ammonium carbonate and didecyl dimethyl ammonium bicarbonate,"148788-55-0, 148812-65-1",CCCCCCCCCC[N+](C)(C)CCCCCCCCCC.CCCCCCCCCC[N+](C)(C)CCCCCCCCCC.OC([O-])=O.OC([O-])=O,Microbiocide
1307,Didecyl methyl benzyl ammonium chloride,32426-10-1,[Cl-].CCCCCCCCCC[N+](C)(CCCCCCCCCC)Cc1ccccc1,Microbiocide
1308,Dieldrin,60-57-1,ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,"Breakdown product,Insecticide"
1310,Dienochlor,2227-17-0,ClC1=C(Cl)C(Cl)(C(=C1Cl)Cl)C2(Cl)C(=C(Cl)C(=C2Cl)Cl)Cl,Insecticide
1314,Diethanolamide of lauric and myristic acid,52900-12-6,CCCCCCCCCCCCCC(=O)[N+](CCO)(CC[O-])C(=O)CCCCCCCCCCC,"Fungicide,Insecticide,Rodenticide"
1316,"Diethanolamine dinoseb ( 2-sec-butyl-4,6-dinitrophenol )",53404-43-6,CCC(C)c1cc(cc(c1O)[N+]([O-])=O)[N+]([O-])=O.OCCNCCO,Herbicide
1317,Diethanolamine dodecylbenzenesulfonate,26545-53-9,CCCCCCCCCCCCO[S](=O)(=O)c1ccccc1.OCCNCCO,"Adjuvant,Fungicide,Insecticide,Microbiocide"
1319,Diethatyl-ethyl,38727-55-8,CCOC(=O)CN(C(=O)CCl)c1c(CC)cccc1CC,Herbicide
1320,Diethofencarb,87130-20-9,CCOc1ccc(NC(=O)OC(C)C)cc1OCC,Fungicide
1324,Difenacoum,56073-07-5,OC1=C(C2CC(Cc3ccccc23)c4ccc(cc4)c5ccccc5)C(=O)c6ccccc6O1,Rodenticide
1325,Difenoconazole,119446-68-3,CC1COC(Cn2cncn2)(O1)c3ccc(Oc4ccc(Cl)cc4)cc3Cl,Fungicide
1326,Difenopenten,81416-44-6,CC(Oc1ccc(Oc2ccc(cc2)C(F)(F)F)cc1)\C=C\C(O)=O,Herbicide
1328,Difenoxuron,14214-32-5,COc1ccc(Oc2ccc(NC(=O)N(C)C)cc2)cc1,Herbicide
1329,Difenzoquat,49866-87-7,Cn1c(cc(c2ccccc2)[n+]1C)c3ccccc3,Herbicide
1330,Difenzoquat methyl sulfate,43222-48-6,CO[S]([O-])(=O)=O.Cn1c(cc(c2ccccc2)[n+]1C)c3ccccc3,Herbicide
1331,Difethialone,104653-34-1,OC1=C(C2CC(Cc3ccccc23)c4ccc(cc4)c5ccc(Br)cc5)C(=O)c6ccccc6S1,Rodenticide
1332,Diflovizadin,162320-67-4,Fc1cccc(F)c1c2nnc(nn2)c3ccccc3Cl,"Insect Growth Regulator,Insecticide"
1333,Diflufenican,83164-33-4,Fc1ccc(NC(=O)c2cccnc2Oc3cccc(c3)C(F)(F)F)c(F)c1,Herbicide
1334,Diflufenzopyr,"1957168-02-3, 109293-97-2",C\C(=N/NC(=O)Nc1cc(F)cc(F)c1)c2ncccc2C(O)=O,Herbicide
1338,Dihydro-5-heptyl-2(3H)-furanone,104-67-6,CCCCCCC[C@H]1CCC(=O)O1,Insecticide
1339,Dihydro-5-pentyl-2(3H)-furanone,104-61-0,CCCCC[C@H]1CCC(=O)O1,Insecticide
1341,Diiodomethyl p-chlorophenyl sulfone,20018-12-6,Clc1ccc(cc1)[S](=O)(=O)C(I)I,"Fungicide,Microbiocide"
1342,Diiodomethyl p-tolyl sulfone,20018-09-1,Cc1ccc(cc1)[S](=O)(=O)C(I)I,"Fungicide,Microbiocide"
1345,Diisopropyl cresol,31291-59-5,CC(C)c1ccc(O)c(C(C)C)c1C,Microbiocide
1347,Diisopropylamine dodecyl benzene sulfonate,29061-61-8,CCCCCCCCCCCCO[S](=O)(=O)c1ccccc1.CC(C)NC(C)C,"Adjuvant,Fungicide,Insecticide,Microbiocide"
1348,Dikegulac,18467-77-1,CC1(C)OCC2OC3(OC(C)(C)OC3C2O1)C(O)=O,Herbicide
1349,Dilauryl dimethyl ammonium bromide,3282-73-3,[Br-].CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC,Microbiocide
1350,Dimefox,115-26-4,CN(C)[P](F)(=O)N(C)C,Insecticide
1351,Dimefuron,34205-21-5,CN(C)C(=O)Nc1ccc(N2N=C(OC2=O)C(C)(C)C)c(Cl)c1,Herbicide
1352,Dimepiperate,61432-55-1,CC(C)(SC(=O)N1CCCCC1)c2ccccc2,Herbicide
1353,Dimetan,122-15-6,CN(C)C(=O)OC1=CC(=O)CC(C)(C)C1,Insecticide
1354,Dimethachlor,50563-36-5,COCCN(C(=O)CCl)c1c(C)cccc1C,Herbicide
1355,Dimethametryn,22936-75-0,CCNc1nc(NC(C)C(C)C)nc(SC)n1,Herbicide
1356,Dimethenamid,87674-68-8,COCC(C)N(C(=O)CCl)c1c(C)scc1C,Herbicide
1357,Dimethirimol,5221-53-4,CCCCC1=C(C)NC(=NC1=O)N(C)C,Fungicide
1358,Dimethoate,60-51-5,CNC(=O)CS[P](=S)(OC)OC,Insecticide
1359,Dimethoate-ethyl,116-01-8,CCNC(=O)CS[P](=S)(OC)OC,Insecticide
1360,Dimethomorph,110488-70-5,COc1ccc(cc1OC)C(=C\C(=O)N2CCOCC2)/c3ccc(Cl)cc3,Fungicide
1361,Dimethoxane,828-00-2,CC1CC(OC(C)O1)OC(C)=O,Microbiocide
1362,Dimethrin,70-38-2,CC(C)=CC1C(C(=O)OCc2ccc(C)cc2C)C1(C)C,Insecticide
1363,"Dimethyl (4-methyl-1,3-phenylenebis(iminocarbonyl-1H-benzimidazole-1,2-diyl))biscarbamate",51543-98-7,COC(=O)Nc1nc2ccccc2n1C(=O)Nc3ccc(C)c(NC(=O)n4c(NC(=O)OC)nc5ccccc45)c3,Fungicide
1367,Dimethyl-1-(hydroxymethyl)pyrazole,85264-33-1,Cc1cc(C)n(CO)n1,Microbiocide
1370,Dimethylol dimethyl hydantoin,6440-58-0,CC1(C)N(CO)C(=O)N(CO)C1=O,"Fungicide,Herbicide,Microbiocide"
1371,Dimetilan,644-64-4,CN(C)C(=O)Oc1cc(C)n(n1)C(=O)N(C)C,Insecticide
1373,Dimoxystrobin,149961-52-4,CNC(=O)C(=N/OC)\c1ccccc1COc2cc(C)ccc2C,Fungicide
1374,Diniconazole,"83657-18-5, 83657-24-3, 76714-88-0",CC(C)(C)C(O)\C(=C/c1ccc(Cl)cc1Cl)n2cncn2,Fungicide
1375,Dinitramine,29091-05-2,CCN(CC)c1c(cc(c(N)c1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O,Herbicide
1376,Dinitro cresol,534-52-1,Cc1cc(cc(c1O)[N+]([O-])=O)[N+]([O-])=O,Insecticide
1377,Dinobuton,973-21-7,CCC(C)c1cc(cc(c1OC(=O)OC(C)C)[N+]([O-])=O)[N+]([O-])=O,"Fungicide,Insecticide"
1378,Dinocap,39300-45-3,C/C=C/C(=O)Oc1c(cc(cc1C(C)(C)CC(C)(C)C)[N+]([O-])=O)[N+]([O-])=O,"Fungicide,Insecticide"
1380,Dinocton-o,"8069-76-9, 63919-26-6, 32534-96-6",CCCCCC(CC)c1cc(cc(c1OC(=O)OC)[N+]([O-])=O)[N+]([O-])=O.CCCCC(CCC)c2cc(cc(c2OC(=O)OC)[N+]([O-])=O)[N+]([O-])=O,"Fungicide,Insecticide"
1381,Dinofenate,"61614-62-8, 2600-55-7",CCC(C)c1cc(cc(c1OC(=O)Oc2ccc(cc2[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O,Herbicide
1382,Dinoseb,88-85-7,CCC(C)c1cc(cc(c1O)[N+]([O-])=O)[N+]([O-])=O,"Defoliant,Herbicide"
1383,Dinoseb acetate,2813-95-8,CCC(C)c1cc(cc(c1OC(C)=O)[N+]([O-])=O)[N+]([O-])=O,Herbicide
1386,"Dinoseb, ammonium salt",6365-83-9,[NH4+].CCC(C)c1cc(cc(c1[O-])[N+]([O-])=O)[N+]([O-])=O,"Defoliant,Herbicide"
1387,"Dinoseb, sodium salt",35040-03-0,[Na+].CCC(C)c1cc(cc(c1[O-])[N+]([O-])=O)[N+]([O-])=O,"Defoliant,Herbicide"
1388,"Dinoseb, triethanolamine salt",6420-47-9,CCC(C)c1cc(cc(c1O)[N+]([O-])=O)[N+]([O-])=O.OCCN(CCO)CCO,"Defoliant,Herbicide"
1389,Dinotefuran,165252-70-0,CN=C(NCC1CCOC1)N[N+]([O-])=O,Insecticide
1390,Dinoterb,1420-07-1,CC(C)(C)c1cc(cc(c1O)[N+]([O-])=O)[N+]([O-])=O,Herbicide
1392,Dioctyl dimethyl ammonium chloride,5538-94-3,[Cl-].CCCCCCCC[N+](C)(C)CCCCCCCC,"Algaecide,Fungicide,Microbiocide"
1393,Diofenolan,63837-33-2,CC[C@H]1OC[C@@H](COc2ccc(Oc3ccccc3)cc2)O1,Herbicide
1394,Dioxabenzofos,3811-49-2,CO[P]1(=S)OCc2ccccc2O1,Insecticide
1395,Dioxacarb,6988-21-2,CNC(=O)Oc1ccccc1C2OCCO2,Insecticide
1396,Dioxathion,78-34-2,CCO[P](=S)(OCC)SC1OCCOC1S[P](=S)(OCC)OCC,Insecticide
1398,Diphacinone,82-66-6,[Na+].O=C(C(c1ccccc1)c2ccccc2)C3C(=O)c4ccccc4C3=O,Rodenticide
1399,"Diphacinone, sodium salt",42721-99-3,[Na+].O=C(C(c1ccccc1)c2ccccc2)[C-]3C(=O)c4ccccc4C3=O,Rodenticide
1400,Diphenamid,957-51-7,CN(C)C(=O)C(c1ccccc1)c2ccccc2,Herbicide
1401,Diphenprofos,59010-86-5,CCCS[P](=O)(OCC)Oc1ccc(Sc2ccc(Cl)cc2)cc1,Insecticide
