Active Substance ID,Substance,CAS Number,Status under Reg. (EC) No 1107/2009,Date of approval,Expiration of approval,Legislation,Remark,RMS,Co-RMS,Assess Risk,Reg 396/2005,Candidate for substitution,Basic substance,Low-risk a.s.,ADI (mg/kg bw/d),Source/Year,Remark,ARfD (mg/kg bw),Source/Year,Remark,AOEL (mg/kg bw/d),Source/Year,Remark,AAOEL (mg/kg bw/d),Source/Year,Remark,Other (mg/kg bw/d),Source/Year,Remark,Classification (Reg. 1272/2008),Authorised,Functions
566,Clopyralid,1702-17-6,Approved,1/10/2021,30/09/2036,"06/64/EC, Reg. (EU) 2018/524, Reg. (EU) 2019/168, Reg. (EU) 2020/421, Reg. (EU) 2021/1191, Reg. (EU) 2021/566, Reg. (EU) No 540/2011, Reg. (EU) No 678/2014",<p>RMS responsible for the last approval: FI</p><p>Co-RMS responsible for the last approval: PL</p>,FI,PL,EFSA,"Commission Regulation (EU) 2024/2612 , Reg. (EC) No 149/2008, Reg. (EC) No 839/2008, Reg. (EU) 2018/1514, Reg. (EU) 2021/1807, Reg. (EU) No 322/2012",,,,0.15 mg/kg bw/day,Dir 06/64,,0.17 mg/kg bw,Reg. (EU) 2021/1191,,0.15 mg/kg bw/day,Reg. (EU) 2021/1191,,0.17 mg/kg bw/day,Reg. (EU) 2021/1191,,,,,Eye Dam. 1 - H318,"AT, BE, BG, CY, CZ, DE, DK, EE, EL, ES, FI, FR, HR, HU, IE, IT, LT, LU, LV, NL, NO, PL, PT, RO, SE, SI, SK",
867,Clothianidin,210880-92-5,Not approved,1/8/2006,31/01/2019,"06/41/EC, 2010/21/EU, Reg. (EU) 2022/801, Reg. (EU) No 1136/2013, Reg. (EU) No 2018/784, Reg. (EU) No 485/2013, Reg. (EU) No 540/2011, Reg. (EU) No 84/2018",<p>The original RMS was Belgium.</p>,DE,ES,EFSA,"Reg. (EC) No 839/2008, Reg. (EU) 2016/156, Reg. (EU) 2017/671, Reg. (EU) 2023/334, Reg. (EU) No 441/2012, Reg. (EU) No 500/2013, Reg. (EU) No 765/2010",,,,0.097 mg/kg bw/day,06/41/EC,,0.1 mg/kg bw,06/41/EC,,0.1 mg/kg bw/day,06/41/EC,,,,,,,,"Acute Tox. 4 - H302, Aquatic Acute 1 - H400, Aquatic Chronic 1 - H410",,IN
1449,Comfrey steeping,No CAS allocated,Not approved,,,Reg. (EU) 2021/809,"<p>Application as a basic substance, made on 22 January 2015, resulted in the non approval as a basic substance.</p>",,,,,,,,,,,,,,,,,,,,,,,,,
568,Conifer needle powder,No CAS allocated,Not approved,,,2007/442,,,,,,,,,,,,,,,,,,,,,,,,,,
569,Coniothyrium minitans Strain CON/M/91-08 (DSM 9660),No CAS allocated,Approved,1/8/2017,31/07/2032,"03/79/EC, Reg. (EU) 2016/950, Reg. (EU) 2017/842, Reg. (EU) No 540/2011, Reg. (EU) No 823/2012",<p>The original RMS was Germany.</p><p>RMS responsible for the last approval: NL</p><p>Co-RMS responsible for the last approval: EE</p>,AT,EE,EFSA,Reg. (EC) No 839/2008,,,Yes,,Reg. (EU) 2017/842,,,Reg. (EU) 2017/842,,,Reg. (EU) 2017/842,,,,,,,,,"AT, BE, BG, CZ, DE, DK, EL, ES, FI, FR, HU, IE, IT, LU, NL, NO, PL, PT, SE, SK",
570,Copper complex: 8-hydroxyquinolin with salicylic acid,No CAS allocated,Not approved,,,2007/442,,,,,Reg. (EC) No 149/2008,,,,,,,,,,,,,,,,,,,,AT,
1221,Copper compounds,No unique CAS,Approved,1/1/2019,31/12/2025,"2009/37/EC, Reg. (EU) 2020/1093, Reg. (EU) No 2018/1981, Reg. (EU) No 232/2015, Reg. (EU) No 540/2011, Reg.(EU) No 84/2018",<p>The original RMS/co-RMS was FR/DE</p>,IT,PL,EFSA,Reg. (EC) No 149/2008,two PBT criteria,,,0.07 mg/kg bw/day,PAFF 11/12/2023,,,PAFF 11/12/2023,,0.08 mg/kg bw/day,Reg. (EU) 2018/1981,,,,,,,,,"AT, CY, FR, HR, HU, IT, LU, PL, PT, RO",
571,Copper hydroxide,20427-59-2,Approved,1/1/2019,31/12/2025,"2009/37/EC, Reg. (EU) 2020/1093, Reg. (EU) No 2018/1981, Reg. (EU) No 232/2015, Reg. (EU) No 540/2011, Reg.(EU) No 84/2018",<p>The original RMS/co-RMS were FR/DE</p>,IT,PL,EFSA,Reg. (EC) No 149/2008,two PBT criteria,,,,,,,,,,,,,,,,,,,"AT, BE, BG, CY, CZ, DE, EL, ES, HR, HU, IT, LU, MT, PL, PT, RO, SI, SK",
580,Copper oxide,1317-39-1,Approved,1/1/2019,31/12/2025,"2009/37/EC, Reg. (EU) 2020/1093, Reg. (EU) No 2018/1981, Reg. (EU) No 232/2015, Reg. (EU) No 540/2011, Reg.(EU) No 84/2018",<p>The original RMS/co-RMS were FR/DE</p>,IT,PL,EFSA,Reg. (EC) No 149/2008,two PBT criteria,,,,,,,,,,,,,,,,,,,"CY, EL, ES, HR, HU, IT, NO, PL, PT, SI",
572,Copper oxychloride,1332-65-6,Approved,1/1/2019,31/12/2025,"2009/37/EC, Reg. (EU) No 2018/1981, Reg. (EU) No 232/2015, Reg. (EU) No 540/2011, Reg.(EU) No 84/2018",<p>Other CAS n° : 1332-40-7</p>,IT,PL,EFSA,Reg. (EC) No 149/2008,two PBT criteria,,,Not Applicable, ,,Not Applicable, ,,Not Applicable, ,,,,,,,,,"AT, BE, BG, CY, CZ, DE, EL, ES, HR, HU, IE, IT, LU, MT, PL, PT, RO, SI, SK",
573,Corn steep liquor,No CAS allocated,Not approved,,,2004/129/EC,,,,,,,,,,,,,,,,,,,,,,,,,,
1022,Coumachlor,81-82-3,Not approved,,,2004/129/EC,,,,,,,,,,,,,,,,,,,,,,,,"Aquatic Chronic 3 - H412, STOT RE 2 - H373",,RO
574,Coumafuryl,117-52-2,Not approved,,,2004/129/EC,,,,,,,,,,,,,,,,,,,,,,,,"Acute Tox. 3 - H301, Aquatic Chronic 3 - H412, STOT RE 1 - H372",,RO
852,Coumaphos,56-72-4,Not approved,,,,<p>Never notified and authorised in the EU</p>,,,,Reg. (EU) 2017/623,,,,,,,,,,,,,,,,,,,,,IN
575,Coumatetralyl,5836-29-3,Not approved,,,2004/129/EC,,,,,,,,,Not Applicable, ,,Not Applicable, ,,Not Applicable, ,,,,,,,,"Acute Tox. 2 - H300, Acute Tox. 2 - H330, Acute Tox. 3 - H311, Aquatic Chronic 1 - H410, Repr. 1B - H360D, STOT RE 1 - H372",,RO
1255,Cow Milk,No CAS allocated,Approved,,,Reg (EU) 2020/1004,,,,,Reg. (EU) 2021/590,,Yes,,Not Applicable, ,,Not Applicable, ,,Not Applicable, ,,,,,,,,,,
576,Cresylic acid,No CAS allocated,Not approved,,,2005/303,,,,,,,,,,,,,,,,,,,,,,,,,,"FU,ST"
577,Crimidine,535-89-7,Not approved,,,2004/129/EC,,,,,,,,,,,,,,,,,,,,,,,,Acute Tox. 2 - H300,,RO
1080,Cryolite,1331-71-1,Not approved,,,,"<p>Never notified and authorised in the EU</p><p>Other CAS : <span style=""background-color: rgb(255, 255, 255); color: rgb(17, 24, 39);"">15096-52-3</span></p>",,,,,,,,,,,,,,,,,,,,,,,,,IN
1482,Cryptophlebia peltastica nucleopolyhedrovirus strain SouthAfrica,No CAS allocated,Pending,,,,,NL,,,,,,,,,,,,,,,,,,,,,,,,IN
578,Cufraneb,No CAS allocated,Not approved,,,2002/2076,,,,,,,,,,,,,,,,,,,,,,,,,,FU
579,Cumylphenol,No CAS allocated,Not approved,,,2007/442,"<p>CAS, other source than ECHA:18168-40-6</p>",,,,,,,,,,,,,,,,,,,,,,,,,
581,Cyanamide (H & Ca cyanamide),420-04-2,Not approved,,,2008/745,<p>Substance fulfilling criteria Annex VI Reg 1490/2002. Application resubmitted for inclusion (Reg 33/2008).</p>,,,,"Reg. (EC) No 149/2008, Reg. (EU) No 1126/2014",,,,0.002 mg/kg bw/day,EFSA 10,,0.05 mg/kg bw,EFSA 10,,0.002 mg/kg bw/day,EFSA 10,,,,,,,,"Acute Tox. 3 - H301, Acute Tox. 3 - H311, Aquatic Chronic 3 - H412, Carc. 2 - H351, Eye Dam. 1 - H318, Repr. 2 - H361fd, STOT RE 2 - H373, Skin Corr. 1 - H314, Skin Sens. 1 - H317",,"HB,PG"
582,Cyanazine,21725-46-2,Not approved,,,2002/2076,,,,,,,,,,,,,,,,,,,,,,,,"Acute Tox. 4 - H302, Aquatic Acute 1 - H400, Aquatic Chronic 1 - H410",,HB
1382,"Cyanides: calcium, hydrogen, sodium",No unique CAS,Not approved,,,2004/129/EC,,,,,Reg. (EC) No 149/2008,,,,,,,,,,,,,,,,,,,,,"IN,RO"
1083,Cyantraniliprole,736994-63-1,Approved,14/09/2016,14/09/2026,"Reg. (EU) 2016/1414, Reg. (EU) No 540/2011",<p>Admissible application according to Article 9 of Regulation (EC) No 1107/2009. Date of admissibility: 10/08/2011</p><p>RMS responsible for the last approval: UK</p>,ES,FI,EFSA,"Reg (EU) 2023/1068, Reg. (EU) 2015/845, Reg. (EU) 2017/171, Reg. (EU) 2017/626, Reg. (EU) 2018/832, Reg. (EU) 2020/856, Reg. (EU) 2022/476",,,,0.01 mg/kg bw/day,Reg. (EU) 2016/1414,,,Reg. (EU) 2016/1414,,0.007 mg/kg bw/day,Reg. (EU) 2016/1414,,,,,,,,,"AT, BE, BG, CY, CZ, DE, DK, EL, ES, FI, FR, HR, HU, IE, IT, LT, LU, LV, MT, NL, NO, PL, PT, RO, SE, SI, SK",
583,Cyazofamid,120116-88-3,Approved,1/8/2021,31/07/2036,"03/23/EC, Reg. (EU) 2016/950, Reg. (EU) 2017/841, Reg. (EU) 2018/917, Reg. (EU) 2019/707, Reg. (EU) 2020/869, Reg. (EU) 2021/843, Reg. (EU) No 540/2011, Reg. (EU) No 823/2012",<p>RMS responsible for the last approval: FR</p><p>Co-RMS responsible for the last approval: LV</p>,FR,,EFSA,"Reg. (EC) No 149/2008, Reg. (EU) 2016/1, Reg. (EU) 2016/486, Reg. (EU) 2019/1015, Reg. (EU) 2020/856, Reg. (EU) No 398/2014, Reg. (EU) No 897/2012, Regulation (EU) 2015/401",,,,0.17 mg/kg bw/day,03/23/EC,Renewal report 2021,,03/23/EC,Renewal report 2021,0.045 mg/kg bw/day,03/23/EC,Renewal report 2021,,Reg. (EU) 2021/843 ,Renewal report 2021,,,,"Aquatic Acute 1 - H400, Aquatic Chronic 1 - H410","AT, BE, BG, CY, CZ, DE, EE, EL, ES, FI, FR, HR, HU, IE, IT, LT, LU, LV, MT, NL, NO, PL, PT, RO, SI, SK",
584,Cyclanilide,113136-77-9,Not approved,,,"01/87/EC, Reg. (EU) 2022/801, Reg. (EU) No 1022/2011, Reg. (EU) No 540/2011",<p>Non renewal voted in Sep 2011. Withdrawal authorisations by 30 Apr 2012. Max period of grace: 31 Oct 2013.</p>,,,,"Reg. (EC) No 149/2008, Reg. (EU) No 1317/2013",,,,0.0075 mg/kg bw/day,01/87/EC,,0.015 mg/kg bw,01/87/EC,,0.0045 mg/kg bw/day,01/87/EC,,,,,,,,"Acute Tox. 4 - H302, Aquatic Chronic 2 - H411",,PG
1289,Cyclaniliprole,1031756-98-5,Not approved,,,Reg. (EU) 2017/357,<p>Application withdrawn on 3 October 2016.</p>,AT,,,Reg. (EU) 2019/50,,,,Not Applicable, ,,Not Applicable, ,,Not Applicable, ,,,,,,,,,IT,
585,Cycloate,1134-23-2,Not approved,,,,"<p>Derogation HU (771/2004), Essential use 835/2004</p>",,,,,,,,,,,,,,,,,,,,,,,,,HB
586,Cycloxydim,101 205-02-1,Approved,1/6/2011,31/08/2026,"2011/4/EU, Reg. (EU) 2023/918, Reg.(EU) No 2018/1266, Reg.(EU) No 540/2011",<p>Initially non included by Decision 2008/934. Included as from 1 June 2011 following re-submission for inclusion according to Reg. 33/2008</p>,NL,DK,EFSA,"Reg. (EC) No 149/2008, Reg. (EU) 2016/486, Reg. (EU) 2021/976, Reg. (EU) 2023/173, Reg. (EU) No 491/2014, Reg. (EU)  2025/581",,,,0.07 mg/kg bw/day,EFSA 10,,2.0 mg/kg bw,EFSA 10,,0.1 mg/kg bw/day,EFSA 10,,,,,,,,Repr. 2 - H361d,"AT, BE, BG, CY, CZ, DE, DK, EE, EL, ES, FI, FR, HR, HU, IE, IT, LT, LU, LV, NL, NO, PL, PT, RO, SE, SI, SK",
587,Cycluron,2163-69-1,Not approved,,,2002/2076,,,,,,,,,,,,,,,,,,,,,,,,,,HB
588,Cydia pomonella Granulovirus (CpGV),No CAS allocated,Approved,1/11/2023,31/10/2038,"2008/113, Reg. (EU) 2019/168, Reg. (EU) 2021/566, Reg. (EU) 2022/378, Reg. (EU) 2023/1756, Reg. (EU) 2023/689, Reg. (EU) No 540/2011, Reg. (EU) No 880/2014",<p>Substance fulfilling criteria Annex VI Reg. 2229/2004</p>,DE,,EFSA,Reg. (EU) 2016/439,,,Yes,,Dir 08/113,,,Dir 08/113,,,Dir 08/113,,,,,,,,,"AT, BE, BG, CY, CZ, DE, DK, EL, ES, FR, HR, HU, IE, IT, LT, LU, LV, NL, PL, PT, RO, SE, SI, SK",
679,Cyenopyrafen,560121-52-0,Not approved,,,,<p>Never notified and authorised in the EU</p>,,,,,,,,,,,,,,,,,,,,,,,,,IN
833,Cyflufenamid,180409-60-3 ,Approved,1/4/2010,30/06/2027,"Dir. 2009/154/EC, Reg. (EU) 2017/1527, Reg. (EU) 2024/324, Reg. (EU) No 2023/114, Reg. (EU) No 540/2011","<p>Extension of approval period: <a href=""http://eur-lex.europa.eu/legal-content/EN/TXT/?qid=1506590080828&uri=CELEX:32017R1527"" rel=""noopener noreferrer"" target=""_blank"">Reg. (EU) 2017/1527</a></p>",DE,AT,EFSA,"Reg. (EC) No 1050/2009, Reg. (EC) No 839/2008, Reg. (EU) 2017/171, Reg. (EU) 2021/1807, Reg. (EU) 2022/476, Reg. (EU) No 36/2014, Reg. (EU) No 737/2014, Reg. (EU) No 978/2011 , Reg.(EU) 2019/1559",,,,0.04 mg/kg bw/day,09/154/EC,,0.05 mg/kg bw,09/154/EC,,0.03 mg/kg bw/day,09/154/EC,,,,,,,,,"AT, BE, BG, CY, CZ, DE, EE, EL, ES, FR, HR, HU, IE, IT, LT, LU, LV, NL, PL, PT, RO, SE, SI, SK",
978,Cyflumetofen,400882-07-7,Approved,1/6/2013,31/10/2025,"Dossier complete 2010/244/EU, Reg. (EU) 2018/155, Reg. (EU) 2023/918, Reg. (EU) No 2019/716, Reg. (EU) No 22/2013","<p>The original RMS were Netherlands.</p><p>Reg. (EU) No 2019/716 amended the Conditions of Approval:</p><p>Plant protection products containing cyflumetofen shall only be authorised for uses where the level of metabolite B3 in groundwater is expected to be below 0,1 μg/L.</p><p>Withdrawal authorisations by 30&nbsp;November 2019.</p><p>Max period of grace: 30 May 2020</p>",ES,AT,EFSA,"Reg. (EU) 2016/567, Reg. (EU) 2021/1098, Reg. (EU) 2023/173, Reg. (EU) 2024/342",,,,0.17 mg/kg bw/day | 0.17 mg/kg bw/day,"Reg. (EU) No 2019/716, Reg. (EU) No 2019/716",,,"Reg. (EU) No 2019/716, Reg. (EU) No 2019/716",,0.11 mg/kg bw/day | 0.11 mg/kg bw/day,"Reg. (EU) No 2019/716, Reg. (EU) No 2019/716",,,,,,,,,"BE, CY, CZ, DE, EL, ES, FR, IT, NL, PL, PT",AC
589,Cyfluthrin,68359-37-5,Not approved,,,"03/31/EC, Reg. (EU) 2022/801, Reg. (EU) No 460/2014, Reg. (EU) No 540/2011, Reg. (EU) No 823/2012",,DE,HU,,"Reg. (EC) No 149/2008, Reg. (EC) No 839/2008, Reg. (EU) 2016/1902, Reg. (EU) 2023/173, Reg. (EU) No 491/2014, Reg. (EU) No 737/2014, Reg. (EU) No 893/2010",,,,0.01 mg/kg bw/day,EFSA 2020,,0.01 mg/kg bw,EFSA 2020,,0.02 mg/kg bw/day,Dir 03/31,,,,,,,,"Acute Tox. 2 - H300, Acute Tox. 3 - H331, Aquatic Acute 1 - H400, Aquatic Chronic 1 - H410",,"AC,IN"
590,Cyhalofop-butyl,122008-85-9,Approved,1/7/2017,30/06/2032,"02/64/EC, 2010/77/EU, Reg. (EU) 2015/1885, Reg. (EU) 2016/549, Reg. (EU) 2017/753, Reg. (EU) No 540/2011",<p>RMS responsible for the last approval: IT</p><p>Co-RMS responsible for the last approval: AT</p>,CZ,BE,EFSA,"Reg. (EC) No 149/2008, Reg. (EU) 2022/1363, Reg. (EU) No 398/2014",,,,0.003 mg/kg bw/day,Reg. (EU) 2017/753,,0.4 mg/kg bw,Reg. (EU) 2017/753,,0.013 mg/kg bw/day,Reg. (EU) 2017/753,,,,,,,,,"BG, EL, ES, FR, IT, MT, PT",
591,Cyhalothrin,91465-08-6,Not approved,,,94/643/EC,<p>CAS 91465-08-6 corresponds to lambda-cyhalothrin. No CAS allocated to cyhalothrin in ECHA's database</p>,,,,,,,,0.005 mg/kg bw/day,EMEA 2001,,,,,,,,,,,,,,,,IN
592,Cyhexatin,13121-70-5,Not approved,,,2008/296,,,,,"Reg. (EC) No 149/2008, Reg. (EU) No 899/2012",,,,0.003 mg/kg bw/day,JMPR 2005,,0.02 mg/kg bw,JMPR 2005,,,,,,,,,,,"Acute Tox. 4 - H302, Acute Tox. 4 - H312, Acute Tox. 4 - H332, Aquatic Acute 1 - H400, Aquatic Chronic 1 - H410",,AC
593,Cymoxanil,57966-95-7,Approved,1/9/2009,15/08/2026,"2008/125, Reg. (EU) 2017/195, Reg. (EU) 2021/745, Reg. (EU) 2022/708, Reg. (EU) 2023/1446, Reg. (EU) No 540/2011",,LT,FI,EFSA,"Reg. (EC) No 149/2008, Reg. (EC) No 839/2008, Reg. (EU) 2016/1785, Reg. (EU) 2018/832, Reg. (EU) 2022/1363, Reg. (EU) No 978/2011 ",,,,0.013 mg/kg bw/day,EFSA 08,,0.08 mg/kg bw,EFSA 08,,0.01 mg/kg bw/day,Dir 08/125,,,,,,,,"Acute Tox. 4 - H302, Aquatic Acute 1 - H400, Aquatic Chronic 1 - H410, Repr. 2 - H361fd, STOT RE 2 - H373, Skin Sens. 1 - H317","AT, BE, BG, CY, CZ, DE, DK, EL, ES, FI, FR, HR, HU, IE, IT, LU, MT, NL, NO, PL, PT, RO, SE, SI, SK",
834,Cypermethrin,52315-07-8,Approved,1/2/2022,31/01/2029,"05/53/EC, Reg (EU) 2020/1511, Reg. (EU) 2017/1511, Reg. (EU) 2018/1262, Reg. (EU) 2019/1589, Reg. (EU) 2021/1449, Reg. (EU) 2021/2049, Reg. (EU) No 533/2013, Reg. (EU) No 540/2011",,CZ,DE,EFSA,"Reg. (EC) No 149/2008, Reg. (EC) No 459/2010, Reg. (EC) No 839/2008, Reg. (EU) 2017/626, Reg. (EU) No 520/2011 ",non-active isomers,,,0.005 mg/kg bw/day,Reg. (EU) 2021/2049,Renewal of approval Report,0.005 mg/kg bw,Reg. (EU) 2021/2049,Renewal of approval Report,0.0025 mg/kg bw/day,Reg. (EU) 2021/2049,Renewal of approval Report,0.0025 mg/kg bw,Reg. (EU) 2021/2049,Renewal of approval Report,,,,"--- - ---, Acute Tox. 4 - H302, Acute Tox. 4 - H332, Aquatic Acute 1 - H400, Aquatic Chronic 1 - H410, STOT SE 3 - H335","AT, BE, BG, CY, CZ, DE, EE, EL, ES, FI, FR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SI, SK",
594,Cyproconazole,94361-06-5,Not approved,1/6/2011,31/05/2021,"2011/56/EU, Reg. (EU) 2022/801, Reg. (EU) No 540/2011","<p><a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32008D0934:EN:NOT"" rel=""noopener noreferrer"" target=""_blank"">Initially non included by Decision 2008/934. Included as from 1 June 2011 following re-submission for inclusion according to Reg. 33/2008.</a></p>",IE,EE,COM,"Reg. (EC) No 149/2008, Reg. (EC) No 839/2008, Reg. (EU) 2017/171, Reg. (EU) 2018/70, Reg. (EU) No 1004/2013, Reg. (EU) No 270/2012, Reg. (EU) No 34/2013, Reg. (EU) No 441/2012",two PBT criteria,,,0.02 mg/kg bw/day,11/56/EU,,0.02 mg/kg bw,11/56/EU,,0.02 mg/kg bw/day,11/56/EU,,,,,,,,"Acute Tox. 3 - H301, Aquatic Acute 1 - H400, Aquatic Chronic 1 - H410, Repr. 1B - H360D, STOT RE 2 - H373",,FU
1023,Cyprodinil,121552-61-2,Approved,1/5/2007,31/10/2026,"06/64/EC, Reg. (EU) 2018/524, Reg. (EU) 2019/168, Reg. (EU) 2020/421, Reg. (EU) 2021/566, Reg. (EU) 2022/378, Reg. (EU) 2023/689, Reg. (EU) 2025/99, Reg. (EU) No 540/2011, Reg. (EU) No 678/2014",,FR,BG,EFSA,"Reg (EU) 2023/1069, Reg. (EC) No 149/2008, Reg. (EC) No 459/2010, Reg. (EC) No 822/2009, Reg. (EC) No 839/2008, Reg. (EU) 2015/400, Reg. (EU) 2016/567, Reg. (EU) 2017/626, Reg. (EU) 2019/1791, Reg. (EU) 2019/552, Reg. (EU) 2020/1565, Reg. (EU) 2020/856, Reg. (EU) 2021/1810, Reg. (EU) 2022/1435, Reg. (EU) No 1004/2013, Reg. (EU) No 508/2011 , Reg. (EU) No 592/2012",two PBT criteria,,,0.03 mg/kg bw/day,Dir 06/64,,,Dir 06/64,,0.03 mg/kg bw/day,Dir 06/64,,,,,,,,"Aquatic Acute 1 - H400, Aquatic Chronic 1 - H410, Skin Sens. 1 - H317","AT, BE, BG, CY, CZ, DE, DK, EE, EL, ES, FI, FR, HR, HU, IE, IT, LT, LU, LV, MT, NL, NO, PL, PT, RO, SE, SI, SK",
595,Cyprofuram,69581-33-5,Not approved,,,2002/2076,,,,,,,,,,,,,,,,,,,,,,,,"Acute Tox. 3 - H301, Acute Tox. 4 - H312, Aquatic Acute 1 - H400, Aquatic Chronic 1 - H410",,FU
596,Cyromazine,66215-27-8,Not approved,1/1/2010,31/12/2019,"2009/77/EC, Reg. (EU) 2022/801, Reg. (EU) No 540/2011",,ES,IT,COM,"Reg. (EC) No 149/2008, Reg. (EC) No 839/2008, Reg. (EU) 2016/1, Reg. (EU) No 2023/147, Reg. (EU) No 559/2011, Reg. (EU) No 61/2014",,,,0.06 mg/kg bw/day,Dir 09/77,,0.1 mg/kg bw,Dir 09/77,,0.06 mg/kg bw/day,Dir 09/77,,,,,,,,,,IN
1515,D-tagatose,87-81-0,Pending,,,,,BE,,,,,,,,,,,,,,,,,,,,,,,,FU
597,DADZ  (zinc-dimethylditiocarbamate),No CAS allocated,Not approved,,,2002/2076,,,,,,,,,,,,,,,,,,,,,,,,,,RE
600,DDT,See note,Not approved,,,,"<p>Banned</p><p><span style=""background-color: rgb(255, 255, 255); color: rgb(17, 24, 39);"">p,p'-DDT CAS : 50-29-3</span></p>",,,,"Reg. (EC) No 149/2008, Reg. (EU) 2023/163",,,,,,,,,,,,,,,,,,,"Acute Tox. 3 - H301, Aquatic Acute 1 - H400, Aquatic Chronic 1 - H410, Carc. 2 - H351, STOT RE 1 - H372",,
693,DNOC,534-52-1,Not approved,,,99/164/EC,,,,,"Reg. (EC) No 149/2008, Reg. (EU) 2015/868",,,,,,,,,,,,,,,,,,,"Acute Tox. 1 - H310, Acute Tox. 2 - H300, Acute Tox. 2 - H330, Aquatic Acute 1 - H400, Aquatic Chronic 1 - H410, Eye Dam. 1 - H318, Muta. 2 - H341, Skin Irrit. 2 - H315, Skin Sens. 1 - H317",,"AC,FU,HB,IN"
598,Dalapon,75-99-0,Not approved,,,,<p>Essential use</p>,,,,Reg. (EC) No 149/2008,,,,,,,,,,,,,,,,,,,"Aquatic Chronic 3 - H412, Eye Dam. 1 - H318, Skin Irrit. 2 - H315",,HB
599,Daminozide,1596-84-5,Approved,1/3/2006,15/09/2025,"05/53/EC, Reg. (EU) 2017/1511, Reg. (EU) 2019/1589, Reg. (EU) 2020/1511, Reg. (EU) 2021/1449, Reg. (EU) 2022/1480, Reg. (EU) 2023/1757, Reg. (EU) No 533/2013, Reg. (EU) No 540/2011, Reg.(EU) 2018/1262",<p>The original RMS was the Netherlands.</p>,CZ,HU,COM,"Reg. (EC) No 149/2008, Reg. (EU) 2017/624, Reg. (EU) No 87/2014",,,,0.45 mg/kg bw/day,Dir 05/53,,,Dir 05/53,,0.16 mg/kg bw/day,Dir 05/53,,,,,,,,,"AT, BE, CY, CZ, DE, DK, EL, ES, FI, FR, HU, IE, IT, NL, NO, PL, PT, SE, SI",
835,Dazomet,533-74-4,Approved,1/6/2011,31/08/2026,"2011/53/EU, Reg. (EU) 2023/918, Reg. (EU) No 2018/1266, Reg. (EU) No 540/2011","<p><a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32008D0934:EN:NOT"" rel=""noopener noreferrer"" target=""_blank"">Initially non included by Decision 2008/934. Included as from 1 June 2011 following re-submission for inclusion according to Reg. 33/2008.</a></p>",BG,NL,EFSA,"Reg. (EC) No 149/2008, Reg. (EU) 2016/1",,,,0.01 mg/kg bw/day,11/53/EU,,0.03 mg/kg bw,11/53/EU,,0.015 mg/kg bw/day,11/53/EU,,,,,,,,"Acute Tox. 4 - H302, Aquatic Acute 1 - H400, Aquatic Chronic 1 - H410, Eye Irrit. 2 - H319","AT, BE, BG, CZ, DE, EL, FR, HR, HU, IT, LU, NL, PL, PT, RO, SI, SK",
602,Deltamethrin,52918-63-5,Approved,1/11/2003,15/08/2026,"03/5/EC, Reg. (EU) 2016/950, Reg. (EU) 2017/1511, Reg. (EU) 2018/1262, Reg. (EU) 2019/1589, Reg. (EU) 2020/1511, Reg. (EU) 2021/1449, Reg. (EU) 2022/1480, Reg. (EU) 2023/1757, Reg. (EU) 2024/1734, Reg. (EU) No 540/2011, Reg. (EU) No 823/2012",<p>The original RMS was Sweden.</p><p>The former RMS was UK.</p><p><br></p>,AT,,COM,"Reg. (EC) No 149/2008, Reg. (EC) No 839/2008, Reg. (EU) 2016/1822, Reg. (EU) 2018/687, Reg. (EU) 2018/832, Reg. (EU) 2024/1342, Reg. (EU) No 441/2012, Reg. (EU) No 524/2011 , Regulation (EU) 2017/1016",,,,0.01 mg/kg bw/day,Dir 03/5,,0.01 mg/kg bw,Dir 03/5,,0.0075 mg/kg bw/day,Dir 03/5,,,,,,,,"Acute Tox. 3 - H301, Acute Tox. 3 - H331, Aquatic Acute 1 - H400, Aquatic Chronic 1 - H410","AT, BE, BG, CY, CZ, DE, DK, EE, EL, ES, FI, FR, HR, HU, IE, IT, LT, LU, LV, MT, NL, NO, PL, PT, RO, SE, SI, SK",
603,Demeton-S-methyl,919-86-8,Not approved,,,2002/2076,,,,,,,,,,,,,,,,,,,,,,,,"Acute Tox. 3 - H301, Acute Tox. 3 - H311, Aquatic Chronic 2 - H411",,"AC,IN"
604,Demeton-S-methyl sulphone,17040-19-6,Not approved,,,2002/2076,,,,,"Reg. (EC) No 1097/2009, Reg. (EC) No 149/2008, Reg. (EU) No 899/2012",,,,,,,,,,,,,,,,,,,"Acute Tox. 3 - H301, Acute Tox. 4 - H312, Aquatic Chronic 2 - H411",,IN
836,Denathonium benzoate,3734-33-6,Not approved,1/9/2009,1/12/2020,"2008/127, Reg. (EU) 2017/195, Reg. (EU) 2020/1643, Reg. (EU) 2022/801, Reg. (EU) No 540/2011, Reg. (EU) No 608/2012",<p>Substance fulfilling criteria Annex VI Reg. 2229/2004</p>,IT,PL,COM,"Reg. (EU) 2019/973, Reg. (EU) 2023/1783",,,,,Dir 08/127,,,Dir 08/127,,,Dir 08/127,,,,,,,,,,RE
