,name,pri,casrn,class,mw,use
274,"Glyphosate, dimethylammonium salt",14879,34494-04-7,Phosphonoglycine,213.17,Herbicide
275,Desmethyl  malathion   (metabolite of malathion),14880,Not Listed,Organophosphorus,0,Breakdown product
276,"Ethanimidothioic acid, 2-(dimethylamino)-N-hydroxy-2-0xo-  methyl ester, (Z)-   (metabolite of oxamyl)",14881,66344-33-0,Unclassified,0,Breakdown product
277,"Urea,  (4,6-dlmethoxy-2-pyrimidinyl)-   (metabolite of orthosulfamuron)",14883,151331-81-6,Unclassified,0,Breakdown product
278,Desmethyl  fenitrothion   (metabolite of fenitrothion),14884,Not Listed,Organophosphorus,0,Breakdown product
279,"Urea, N- (1-methylethyl)-N-phenyl-",14885,19895-44-4,Not Listed,0,Not Listed
280,"3-isopropyl-5-phenyl-1,3,5-thiadiazinan-2,4-dione",14886,107484-84-4,Not Listed,0,Not Listed
281,"(Z,Z)-3,13-Octadecadien-1-ol",14887,66410-24-0,Pheromone,0,Pheromone
282,"(3E,13Z)-Octadecadien-1-ol",14888,66410-28-4,Pheromone,0,Pheromone
283,"Potassium pentaborate  (KB5O8),  tetrahydrate",14889,12229-13-9,Inorganic,0,Insecticide
284,AE 1073910,14890,Not Listed,Not Listed,0,Not Listed
285,AE 1417268,14891,Not Listed,Not Listed,0,Not Listed
286,Saflufenacil,14892,372137-35-4,Amide,500.92,Herbicide
287,"Benzene,  2-bromo-1,3-diethyl-5-methyl-    (positive control chemical)",14893,314084-61-2,Not Listed,0,Not Listed
288,Gonadotropin Releasing Hormone,14894,9034-40-6,Not Listed,0,Not Listed
289,Halloysite Clay,14895,Not Listed,Inorganic,0,Not Listed
290,Methylphenidate (MPH),14896,Not Listed,Not Listed,0,Not Listed
291,Pichia  deserticola  strain  NRRLY- 27442,14897,Not Listed,Microbial,0,Not Listed
292,"Propanoic acid,, 2-[4-[ (3, 5-dichloro-2-pyridinyl)oxy]phenoxy]-, (trimethylsilyl) methyl ester",14898,89445-34-1,Not Listed,0,Not Listed
293,"Silanamine, 1,1,1,-trimethyl-N-(trimethylsilyl)-hydrolysis products with silica",14899,68909-20-6,Not Listed,0,Not Listed
294,Spinetoram (XDE-175-J),14900,187166-40-1,Spinosyn,760.03,Insecticide
295,Spinetoram (XDE-175-L),14901,187166-15-0,Spinosyn,748.01,Insecticide
296,Z-11-Tetradecenal,14902,35237-64-0,Pheromone,0,Pheromone
297,Zucchini Yellow Mosaic Virus-Weak Strain,14903,Not Listed,Microbial,0,Not Listed
298,2-oxo-quinoxyfen,14905,878790-59-1,Not Listed,0,Not Listed
299,"2-Amino-N,N-dimethylbenzamide",14906,6526-66-5,Not Listed,0,Not Listed
300,,14908,,,Not Listed,Not Listed
301,,14909,Not Listed,Not Listed,Not Listed,Not Listed
302,"5-(N'-methyl-N""-nitro-guanidinomethyl)-thiazole-2-sulfonic acid",14910,Not Listed,Not Listed,0,Not Listed
303,"5-(5-methyl-4-nitroimino-[1,2,5]oxadiazinan-3-ylmethyl)-thiazole-2-sulfonic acid",14911,Not Listed,Not Listed,0,Not Listed
304,5-Bromo-N-methyl-3-pyrazolecarboxamide,14912,Not Listed,Not Listed,0,Not Listed
305,Ethyl 3-hydroxyphenylcarbamate,14913,Not Listed,Not Listed,0,Not Listed
306,BF-4   (metabolite of buprofezin),14914,Not Listed,Unclassified,0,Breakdown product
307,IN-EQW78,14916,Not Listed,Not Listed,0,Not Listed
308,N-(methylsulfonyl)methylphthalamic acid   (metabolite of phosmet),14917,Not Listed,Unclassified,0,Breakdown product
309,Rynaxypyr,14920,Not Listed,Unclassified,0,Insecticide
310,Balsam fir oil,14923,Not Listed,Botanical,0,Microbiocide
311,R-Octanol,14924,Not Listed,Not Listed,0,Not Listed
312,Polymeric betaine,14925,214710-34-6,Polymer,0,"Fungicide,Insecticide,Microbiocide,Wood Preservative"
313,MCDMH,14926,Not Listed,Not Listed,0,Microbiocide
314,"(E,E)-9,11-Tetradecadien-1-yl acetate",14927,54664-98-1,Pheromone,0,Pheromone
315,Corn steep liquor,14928,Not Listed,Botanical,0,Not Listed
316,Dimethyl adipate,14929,627-93-0,Ester,0,"Adjuvant,Solvent"
317,Dimethyl glutarate,14930,Not Listed,Not Listed,0,Not Listed
318,Dimethyl sebacate,14931,Not Listed,Not Listed,0,Not Listed
319,,15199,,,Not Listed,Not Listed
320,,15240,,Not Listed,Not Listed,
321,,15254,Not Listed,Not Listed,Not Listed,Not Listed
322,,15258,Not Listed,Not Listed,Not Listed,Not Listed
323,,15308,,,Not Listed,Not Listed
324,,15510,Not Listed,Not Listed,Not Listed,Not Listed
325,,15614,,,Not Listed,Not Listed
326,,15645,Not Listed,Not Listed,Not Listed,Not Listed
327,,15776,Not Listed,Not Listed,Not Listed,Not Listed
328,,15841,Not Listed,Not Listed,Not Listed,Not Listed
329,,16427,,,Not Listed,Not Listed
330,,16480,,,Not Listed,Not Listed
331,,17376,,Not Listed,Not Listed,
332,,17823,Not Listed,Not Listed,Not Listed,Not Listed
333,,17911,Not Listed,Not Listed,Not Listed,Not Listed
334,,18589,,Not Listed,Not Listed,
335,,18721,Not Listed,Not Listed,Not Listed,Not Listed
336,,19214,Not Listed,Not Listed,Not Listed,Not Listed
337,,19233,,,Not Listed,Not Listed
338,,19428,Not Listed,Not Listed,Not Listed,Not Listed
